ID,Marital_Status,Gender,Income,Children,Home_Owner,Cars,Commute_Distance,Age,Purchased_Bike,Con_hijos,Con_vehiculo,Education_Graduate_Degree,Education_High_School,Education_Partial_College,Education_Partial_High_School,Occupation_Management,Occupation_Manual,Occupation_Professional,Occupation_Skilled_Manual,Region_North_America,Region_Pacific,score_buy
12496,0,0,0.25,0.2,1,0.0,0,0.3238095238095238,0,1,0,False,False,False,False,False,False,False,True,False,False,0.6126010318974952
24107,0,1,0.16666666666666666,0.6000000000000001,1,0.2857142857142857,0,0.3428571428571429,0,1,1,False,False,True,False,False,False,False,False,False,False,0.3868966679900609
14177,0,1,0.5833333333333334,1.0,0,0.5714285714285714,3,0.6666666666666667,0,1,1,False,False,True,False,False,False,True,False,False,False,0.26979926949045924
24381,1,1,0.5,0.0,1,0.2857142857142857,4,0.30476190476190484,1,0,1,False,False,False,False,False,False,True,False,False,True,0.8139951664115032
25597,1,1,0.16666666666666666,0.0,0,0.0,0,0.2095238095238095,1,0,0,False,False,False,False,False,False,False,False,False,False,0.6129368182446929
13507,0,0,0.0,0.4,1,0.0,1,0.4761904761904762,0,1,0,False,False,True,False,False,True,False,False,False,False,0.42433850862275524
27974,1,1,1.0000000000000002,0.4,1,1.0,0,0.15238095238095245,1,1,1,False,True,False,False,True,False,False,False,False,True,0.7729863615413182
19364,0,1,0.25,0.2,1,0.0,0,0.3428571428571429,1,1,0,False,False,False,False,False,False,False,True,False,False,0.6041406501728519
22155,0,1,0.08333333333333334,0.4,1,0.5714285714285714,4,0.6285714285714286,0,1,1,False,False,False,True,False,False,False,False,False,True,0.23115839920416278
19280,0,1,0.3855633802816901,0.4,1,0.2857142857142857,0,0.3653609831029186,1,1,1,False,False,True,False,False,True,False,False,False,False,0.540928588835779
22173,0,0,0.16666666666666666,0.6000000000000001,0,0.5714285714285714,1,0.5523809523809524,1,1,1,False,True,False,False,False,False,False,True,False,True,0.3700186533218868
12697,1,0,0.6666666666666666,0.0,0,1.0,2,0.2095238095238095,0,0,1,False,False,False,False,False,False,True,False,False,True,0.5802270488387499
11434,0,1,1.0000000000000002,1.0,1,0.4157416750756811,0,0.5714285714285714,0,1,1,False,False,True,False,False,False,True,False,False,False,0.6624001487828892
25323,0,1,0.25,0.4,1,0.2857142857142857,1,0.19047619047619052,1,1,1,False,False,True,False,False,False,False,False,False,False,0.4555827692811999
23542,1,1,0.41666666666666663,0.2,0,0.2857142857142857,0,0.380952380952381,1,1,1,False,False,True,False,False,False,False,True,False,True,0.7723451793663841
20870,1,0,0.0,0.4,1,0.2857142857142857,0,0.24761904761904768,1,1,1,False,True,False,False,False,True,False,False,False,False,0.6508825528955262
23316,1,1,0.16666666666666666,0.6000000000000001,0,0.5714285714285714,1,0.6476190476190475,1,1,1,False,False,True,False,False,False,False,False,False,True,0.42898065521705375
12610,0,0,0.16666666666666666,0.2,1,0.0,0,0.41904761904761906,0,1,0,False,False,False,False,False,False,False,False,False,False,0.5811652466040037
27183,1,1,0.25,0.4,1,0.2857142857142857,1,0.19047619047619052,1,1,1,False,False,True,False,False,False,False,False,False,False,0.6191909696217814
25940,1,1,0.08333333333333334,0.4,1,0.5714285714285714,4,0.5714285714285714,1,1,1,False,False,False,True,False,False,False,False,False,True,0.37443120531347623
25598,0,0,0.25,0.0,1,0.0,0,0.2095238095238095,1,0,0,True,False,False,False,False,False,False,False,False,False,0.5490429040752671
21564,1,0,0.5833333333333334,0.0,1,1.0,2,0.19047619047619052,0,0,1,False,False,False,False,False,False,True,False,False,True,0.6120919546218565
19193,1,1,0.25,0.4,1,0.0,1,0.19047619047619052,1,1,0,False,False,True,False,False,False,False,False,False,False,0.6956833518594518
26412,0,0,0.5833333333333334,1.0,0,0.8571428571428571,4,0.5904761904761906,0,1,1,False,True,False,False,True,False,False,False,False,False,0.14113126558512257
27184,1,1,0.25,0.4,0,0.2857142857142857,0,0.17142857142857143,0,1,1,False,False,True,False,False,False,False,False,False,False,0.5787842297029135
12590,1,1,0.16666666666666666,0.2,1,0.0,0,0.7238095238095239,0,1,0,False,False,False,False,False,False,False,False,False,False,0.6973964528710733
17841,1,1,0.16666666666666666,0.0,0,0.2857142857142857,0,0.0761904761904762,1,0,1,False,False,True,False,False,False,False,False,False,False,0.5135551275957349
18283,0,0,0.75,0.0,0,0.2857142857142857,4,0.28571428571428575,0,0,1,False,False,False,False,False,False,True,False,False,True,0.7354563225117962
